Begin Time - hh:mm:ss.ms,End Time - hh:mm:ss.ms,Duration - hh:mm:ss.ms,Anna,Anna backchannel actions,Anna backchannels,Bert,Bert backchannel actions,Bert backchannels,Cassie,Cassie backchannel actions,Cassie backchannels,Doyle,Doyle backchannel actions,Doyle backchannels,Erin,Erin backchannel actions,Erin backchannels,Flo,Flo backchannel actions,Flo backchannels,Gemma,Gemma backchannel actions,Gemma backchannels,Holly,Holly backchannel actions,Holly backchannels,Ike,Ike backchannel actions,Ike backchannels,Turn subtype,Turntype,File
00:22:52,00:22:53,00:00:01,,,,,,,,,,I just eat everything [a3311],,,,,,,,,,,,,,,,,,other [a2267],other [a2261],20170117_Anna-Doyle_SocialLife_backchannels.eaf
00:22:55,00:22:57,00:00:02,"yeah, my my son just [a2824]",,,,,,,,,,,,,,,,,,,,,,,,,,,other [a2267],other [a2261],20170117_Anna-Doyle_SocialLife_backchannels.eaf
00:22:55,00:22:56,00:00:00,"yeah, my my son just [a2824]",change-of-activity [a3902],yeah [a3756],,,,,,,,,,,,,,,,,,,,,,,,,other [a2267],other [a2261],20170117_Anna-Doyle_SocialLife_backchannels.eaf
00:23:00,00:23:01,00:00:01,make sure we bolus [a2826],,,,,,,,,,,,,,,,,,,,,,,,,,,other [a2267],other [a2261],20170117_Anna-Doyle_SocialLife_backchannels.eaf
00:23:00,00:23:01,00:00:01,make sure we bolus [a2826],,,,,,,,,adjust. [a3315],joint construction [a3978],adjust [a3567],,,,,,,,,,,,,,,,other [a2267],other [a2261],20170117_Anna-Doyle_SocialLife_backchannels.eaf
00:23:01,00:23:03,00:00:02,,,,,,,,,,{NS} yeah. I just adjust my insulin for it. [a3316],,,,,,,,,,,,,,,,,,other [a2267],other [a2261],20170117_Anna-Doyle_SocialLife_backchannels.eaf
00:23:03,00:23:04,00:00:02,"Yeah, yeah. [a2828]",acknowledgement [a3903],Yeah. Yeah. [a3495],,,,,,,,,,,,,,,,,,,,,,,,,other [a2267],other [a2261],20170117_Anna-Doyle_SocialLife_backchannels.eaf
00:23:12,00:23:14,00:00:02,,,,,,,,,,"since type one doesn't really affect your lifestyle, [a3320]",,,,,,,,,,,,,,,,,,other [a2267],other [a2261],20170117_Anna-Doyle_SocialLife_backchannels.eaf
00:23:14,00:23:15,00:00:01,yeah [a2830],acknowledgement [a3905],yeah [a3497],,,,,,,,,,,,,,,,,,,,,,,,,other [a2267],other [a2261],20170117_Anna-Doyle_SocialLife_backchannels.eaf
00:23:18,00:23:19,00:00:01,yeah [a2831],acknowledgement [a3906],yeah [a3498],,,,,,,,,,,,,,,,,,,,,,,,,other [a2267],other [a2261],20170117_Anna-Doyle_SocialLife_backchannels.eaf
00:23:19,00:23:21,00:00:02,,,,,,,,,,whereas if it was type two [a3323],,,,,,,,,,,,,,,,,,other [a2267],other [a2261],20170117_Anna-Doyle_SocialLife_backchannels.eaf
00:23:21,00:23:23,00:00:02,,,,,,,,,,then it'd be like completely different. [a3324],,,,,,,,,,,,,,,,,,other [a2267],other [a2261],20170117_Anna-Doyle_SocialLife_backchannels.eaf
00:23:24,00:23:25,00:00:01,,,,,,,,,,Yeah. [a3325],,,,,,,,,,,,,,,,,,other [a2267],other [a2261],20170117_Anna-Doyle_SocialLife_backchannels.eaf
00:23:31,00:23:32,00:00:01,,,,,,,,,,Especially type one. [a3327],,,,,,,,,,,,,,,,,,other [a2267],other [a2261],20170117_Anna-Doyle_SocialLife_backchannels.eaf
00:23:34,00:23:35,00:00:01,Yay. [a2837],,,,,,,,,,,,,,,,,,,,,,,,,,,other [a2267],other [a2261],20170117_Anna-Doyle_SocialLife_backchannels.eaf
00:23:41,00:23:41,00:00:00,,,,,,,,,,Yes. [a3329],,,,,,,,,,,,,,,,,,other [a2267],other [a2261],20170117_Anna-Doyle_SocialLife_backchannels.eaf
00:23:44,00:23:47,00:00:03,,,,,,,,,,I hyp- +hypo I hypoed on my -- on a shift once [a3330],,,,,,,,,,,,,,,,,,other [a2267],other [a2261],20170117_Anna-Doyle_SocialLife_backchannels.eaf
00:23:47,00:23:48,00:00:01,,,,,,,,,,and they told me [a3331],,,,,,,,,,,,,,,,,,other [a2267],other [a2261],20170117_Anna-Doyle_SocialLife_backchannels.eaf
00:23:48,00:23:49,00:00:01,,,,,,,,,,they gave my rest [a3332],,,,,,,,,,,,,,,,,,other [a2267],other [a2261],20170117_Anna-Doyle_SocialLife_backchannels.eaf
00:23:49,00:23:51,00:00:02,,,,,,,,,,and they made sure I was alright and they [a3333],,,,,,,,,,,,,,,,,,other [a2267],other [a2261],20170117_Anna-Doyle_SocialLife_backchannels.eaf
00:23:51,00:23:52,00:00:01,,,,,,,,,,came up to me [a3334],,,,,,,,,,,,,,,,,,other [a2267],other [a2261],20170117_Anna-Doyle_SocialLife_backchannels.eaf
00:23:52,00:23:55,00:00:02,"so they were really supportive, yeah. [a2842]",other-initiated self-repair [a3913],"so they were really supportive, yeah. [a3505]",,,,,,,,,,,,,,,,,,,,,,,,,other [a2267],other [a2261],20170117_Anna-Doyle_SocialLife_backchannels.eaf
00:23:55,00:23:55,00:00:01,Yeah. [a2843],acknowledgement [a3914],yeah [a3506],,,,,,,,,,,,,,,,,,,,,,,,,other [a2267],other [a2261],20170117_Anna-Doyle_SocialLife_backchannels.eaf
00:24:00,00:24:01,00:00:01,Good. It's good you're [a2846],,,,,,,,,,,,,,,,,,,,,,,,,,,other [a2267],other [a2261],20170117_Anna-Doyle_SocialLife_backchannels.eaf
00:24:04,00:24:05,00:00:01,"school was, yeah. [a2848]",,,,,,,,,I've had [a3338],,,,,,,,,,,,,,,,,,other [a2267],other [a2261],20170117_Anna-Doyle_SocialLife_backchannels.eaf
00:24:05,00:24:06,00:00:01,,,,,,,,,,I've had bad [a3339],,,,,,,,,,,,,,,,,,other [a2267],other [a2261],20170117_Anna-Doyle_SocialLife_backchannels.eaf
00:24:09,00:24:11,00:00:02,,,,,,,,,,"has had that as well, but [a3342]",,,,,,,,,,,,,,,,,,other [a2267],other [a2261],20170117_Anna-Doyle_SocialLife_backchannels.eaf
00:24:10,00:24:11,00:00:01,yeah [a2850],acknowledgement [a3918],yeah [a3510],,,,,,,,,,,,,,,,,,,,,,,,,other [a2267],other [a2261],20170117_Anna-Doyle_SocialLife_backchannels.eaf
00:00:02,00:00:03,00:00:01,,,,,,,,,,I just hope when you're [a1655],,,,,,,,,,,,,,,,,,other [a1153],other [a1151],20170117_Cassie-Doyle_MentalHealth_backchannels.eaf
00:00:04,00:00:06,00:00:02,,,,,,,,,,"listening to this, I hope you're able to understand what I say. [a1657]",,,,,,,,,,,,,,,,,,other [a1153],other [a1151],20170117_Cassie-Doyle_MentalHealth_backchannels.eaf
00:00:26,00:00:26,00:00:00,,,,,,,Okay. [a1158],,,,,,,,,,,,,,,,,,,,,other [a1153],other [a1151],20170117_Cassie-Doyle_MentalHealth_backchannels.eaf
00:00:40,00:00:41,00:00:00,,,,,,,It was [a1167],,,,,,,,,,,,,,,,,,,,,other [a1153],other [a1151],20170117_Cassie-Doyle_MentalHealth_backchannels.eaf
00:00:41,00:00:43,00:00:02,,,,,,,"numbers, I'm not very good at numbers. [a1168]",,,,,,,,,,,,,,,,,,,,,other [a1153],other [a1151],20170117_Cassie-Doyle_MentalHealth_backchannels.eaf
00:00:44,00:00:44,00:00:00,,,,,,,,,,{BR} [a1670],,,,,,,,,,,,,,,,,,other [a1153],other [a1151],20170117_Cassie-Doyle_MentalHealth_backchannels.eaf
00:00:44,00:00:46,00:00:01,,,,,,,{LS} Yeah. Have fun with that. [a1170],,,,,,,,,,,,,,,,,,,,,other [a1153],other [a1151],20170117_Cassie-Doyle_MentalHealth_backchannels.eaf
00:00:46,00:00:46,00:00:01,,,,,,,{LG} [a1171],,,,,,,,,,,,,,,,,,,,,other [a1153],other [a1151],20170117_Cassie-Doyle_MentalHealth_backchannels.eaf
00:00:50,00:00:50,00:00:00,,,,,,,,,,Are you? [a1672],,,,,,,,,,,,,,,,,,other [a1153],other [a1151],20170117_Cassie-Doyle_MentalHealth_backchannels.eaf
00:00:50,00:00:51,00:00:01,,,,,,,Yeah. [a1174],,,,,,,,,,,,,,,,,,,,,other [a1153],other [a1151],20170117_Cassie-Doyle_MentalHealth_backchannels.eaf
00:00:54,00:00:55,00:00:01,,,,,,,,,,If you can remember. [a1674],,,,,,,,,,,,,,,,,,other [a1153],other [a1151],20170117_Cassie-Doyle_MentalHealth_backchannels.eaf
00:00:59,00:01:00,00:00:01,,,,,,,,,,I was thirteen. [a1676],,,,,,,,,,,,,,,,,,other [a1153],other [a1151],20170117_Cassie-Doyle_MentalHealth_backchannels.eaf
00:01:02,00:01:03,00:00:01,,,,,,,Are you managing? [a1183],,,,,,,,,,,,,,,,,,,,,other [a1153],other [a1151],20170117_Cassie-Doyle_MentalHealth_backchannels.eaf
00:01:07,00:01:09,00:00:02,,,,,,,,,,"I want to say yes, but I'm not really. [a1677]",,,,,,,,,,,,,,,,,,other [a1153],other [a1151],20170117_Cassie-Doyle_MentalHealth_backchannels.eaf
00:01:08,00:01:09,00:00:01,,,,,,,That's okay. [a1186],,,,,,,,,,,,,,,,,,,,,other [a1153],other [a1151],20170117_Cassie-Doyle_MentalHealth_backchannels.eaf
00:01:11,00:01:13,00:00:02,,,,,,,,,,"Yeah, cause I want to say yes so I can reassure myself, [a1679]",,,,,,,,,,,,,,,,,,other [a1153],other [a1151],20170117_Cassie-Doyle_MentalHealth_backchannels.eaf
00:01:11,00:01:12,00:00:01,,,,,,,um [a1188],,,"Yeah, cause I want to say yes so I can reassure myself, [a1679]",,,,,,,,,,,,,,,,,,other [a1153],other [a1151],20170117_Cassie-Doyle_MentalHealth_backchannels.eaf
00:01:18,00:01:19,00:00:01,,,,,,,with your time? [a1192],,,,,,,,,,,,,,,,,,,,,other [a1153],other [a1151],20170117_Cassie-Doyle_MentalHealth_backchannels.eaf
00:01:18,00:01:19,00:00:01,,,,,,,with your time? [a1192],,,As in [a1682],,,,,,,,,,,,,,,,,,other [a1153],other [a1151],20170117_Cassie-Doyle_MentalHealth_backchannels.eaf
00:01:20,00:01:20,00:00:01,,,,,,,In li- +life [a1193],,,,,,,,,,,,,,,,,,,,,other [a1153],other [a1151],20170117_Cassie-Doyle_MentalHealth_backchannels.eaf
00:01:24,00:01:25,00:00:01,,,,,,,okay [a1195],,,,,,,,,,,,,,,,,,,,,other [a1153],other [a1151],20170117_Cassie-Doyle_MentalHealth_backchannels.eaf
00:01:28,00:01:29,00:00:00,,,,,,,,,,uh [a1686],,,,,,,,,,,,,,,,,,other [a1153],other [a1151],20170117_Cassie-Doyle_MentalHealth_backchannels.eaf
00:01:29,00:01:30,00:00:01,,,,,,,,,,business management [a1687],,,,,,,,,,,,,,,,,,other [a1153],other [a1151],20170117_Cassie-Doyle_MentalHealth_backchannels.eaf
00:01:30,00:01:31,00:00:02,,,,,,,,,,and I work at [a1688],,,,,,,,,,,,,,,,,,other [a1153],other [a1151],20170117_Cassie-Doyle_MentalHealth_backchannels.eaf
00:01:32,00:01:34,00:00:02,,,,,,,,,,I work just down at the bottom Royal Mile. [a1689],,,,,,,,,,,,,,,,,,other [a1153],other [a1151],20170117_Cassie-Doyle_MentalHealth_backchannels.eaf
00:01:34,00:01:34,00:00:01,,,,,,,Okay [a1197],acknowledgement [a2313],okay [a2044],,,,,,,,,,,,,,,,,,,other [a1153],other [a1151],20170117_Cassie-Doyle_MentalHealth_backchannels.eaf
00:01:36,00:01:37,00:00:01,,,,,,,,,,Opposite [a1692],,,,,,,,,,,,,,,,,,other [a1153],other [a1151],20170117_Cassie-Doyle_MentalHealth_backchannels.eaf
00:01:37,00:01:37,00:00:00,,,,,,,cool [a1199],acknowledgement [a2315],cool [a2046],Opposite [a1692],,,,,,,,,,,,,,,,,,other [a1153],other [a1151],20170117_Cassie-Doyle_MentalHealth_backchannels.eaf
00:01:39,00:01:39,00:00:01,,,,,,,Yeah [a1200],acknowledgement [a2316],yeah [a2047],,,,,,,,,,,,,,,,,,,other [a1153],other [a1151],20170117_Cassie-Doyle_MentalHealth_backchannels.eaf
00:01:39,00:01:40,00:00:00,,,,,,,,,,Yeah [a1694],,,,,,,,,,,,,,,,,,other [a1153],other [a1151],20170117_Cassie-Doyle_MentalHealth_backchannels.eaf
00:01:41,00:01:43,00:00:01,,,,,,,And you're studying business management. [a1203],,,,,,,,,,,,,,,,,,,,,other [a1153],other [a1151],20170117_Cassie-Doyle_MentalHealth_backchannels.eaf
00:01:43,00:01:43,00:00:00,,,,,,,,,,Yes. [a1696],,,,,,,,,,,,,,,,,,other [a1153],other [a1151],20170117_Cassie-Doyle_MentalHealth_backchannels.eaf
00:01:44,00:01:44,00:00:00,,,,,,,cool. [a1205],continuer [a2320],cool [a2250],,,,,,,,,,,,,,,,,,,other [a1153],other [a1151],20170117_Cassie-Doyle_MentalHealth_backchannels.eaf
00:01:47,00:01:48,00:00:01,,,,,,,,,,"Wednesday, Satur- +Saturday, Sunday. [a1700]",,,,,,,,,,,,,,,,,,other [a1153],other [a1151],20170117_Cassie-Doyle_MentalHealth_backchannels.eaf
00:01:48,00:01:49,00:00:01,,,,,,,Okay. [a1206],acknowledgement [a2321],okay [a2050],,,,,,,,,,,,,,,,,,,other [a1153],other [a1151],20170117_Cassie-Doyle_MentalHealth_backchannels.eaf
00:01:49,00:01:50,00:00:01,,,,,,,,,,"So I've got like one day off, [a1701]",,,,,,,,,,,,,,,,,,other [a1153],other [a1151],20170117_Cassie-Doyle_MentalHealth_backchannels.eaf
00:01:50,00:01:51,00:00:01,,,,,,,,,,that's it. [a1702],,,,,,,,,,,,,,,,,,other [a1153],other [a1151],20170117_Cassie-Doyle_MentalHealth_backchannels.eaf
00:01:52,00:01:54,00:00:02,,,,,,,,,,And I'm also do- +doing -- volunteering as well. [a1704],,,,,,,,,,,,,,,,,,other [a1153],other [a1151],20170117_Cassie-Doyle_MentalHealth_backchannels.eaf
00:01:56,00:01:57,00:00:01,,,,,,,,,,Yeah [a1706],,,,,,,,,,,,,,,,,,other [a1153],other [a1151],20170117_Cassie-Doyle_MentalHealth_backchannels.eaf
00:02:02,00:02:03,00:00:01,,,,,,,,,,Basically it was [a1708],,,,,,,,,,,,,,,,,,other [a1153],other [a1151],20170117_Cassie-Doyle_MentalHealth_backchannels.eaf
00:02:05,00:02:06,00:00:01,,,,,,,,,,high school prelims. [a1710],,,,,,,,,,,,,,,,,,other [a1153],other [a1151],20170117_Cassie-Doyle_MentalHealth_backchannels.eaf
00:02:06,00:02:08,00:00:02,,,,,,,,,,"{BR} Yeah, not that [a1711]",,,,,,,,,,,,,,,,,,other [a1153],other [a1151],20170117_Cassie-Doyle_MentalHealth_backchannels.eaf
00:02:10,00:02:12,00:00:02,,,,,,,,,,diagnosed with clinical depression at the same time. [a1713],,,,,,,,,,,,,,,,,,other [a1153],other [a1151],20170117_Cassie-Doyle_MentalHealth_backchannels.eaf
00:02:12,00:02:12,00:00:00,,,,,,,Okay [a1213],acknowledgement [a2327],okay [a2056],,,,,,,,,,,,,,,,,,,other [a1153],other [a1151],20170117_Cassie-Doyle_MentalHealth_backchannels.eaf
00:02:14,00:02:15,00:00:01,,,,,,,,,,so wasn't exactly the [a1715],,,,,,,,,,,,,,,,,,other [a1153],other [a1151],20170117_Cassie-Doyle_MentalHealth_backchannels.eaf
00:02:17,00:02:18,00:00:01,,,,,,,No [a1216],acknowledgement [a2330],no [a2059],,,,,,,,,,,,,,,,,,,other [a1153],other [a1151],20170117_Cassie-Doyle_MentalHealth_backchannels.eaf
00:02:23,00:02:24,00:00:02,,,,,,,Yeah. Absolutely. [a1218],,,,,,,,,,,,,,,,,,,,,other [a1153],other [a1151],20170117_Cassie-Doyle_MentalHealth_backchannels.eaf
00:02:32,00:02:33,00:00:01,,,,,,,,,,I [a1720],,,,,,,,,,,,,,,,,,other [a1153],other [a1151],20170117_Cassie-Doyle_MentalHealth_backchannels.eaf
00:02:34,00:02:35,00:00:01,,,,,,,,,,I tried to ignore it. [a1722],,,,,,,,,,,,,,,,,,other [a1153],other [a1151],20170117_Cassie-Doyle_MentalHealth_backchannels.eaf
00:02:36,00:02:37,00:00:01,,,,,,,,,,But then I realising [a1723],,,,,,,,,,,,,,,,,,other [a1153],other [a1151],20170117_Cassie-Doyle_MentalHealth_backchannels.eaf
00:02:40,00:02:41,00:00:01,,,,,,,,,,So I felt I kinda had to [a1725],,,,,,,,,,,,,,,,,,other [a1153],other [a1151],20170117_Cassie-Doyle_MentalHealth_backchannels.eaf
00:02:46,00:02:47,00:00:02,,,,,,,,,,that I was avoiding my bloods going low or high. [a1728],,,,,,,,,,,,,,,,,,other [a1153],other [a1151],20170117_Cassie-Doyle_MentalHealth_backchannels.eaf
00:02:54,00:02:54,00:00:00,,,,,,,,,,{BR} [a1729],,,,,,,,,,,,,,,,,,other [a1153],other [a1151],20170117_Cassie-Doyle_MentalHealth_backchannels.eaf
00:02:59,00:03:01,00:00:01,,,,,,,,,,Well to me I'm [a1731],,,,,,,,,,,,,,,,,,other [a1153],other [a1151],20170117_Cassie-Doyle_MentalHealth_backchannels.eaf
00:03:01,00:03:03,00:00:01,,,,,,,,,,"I'm a perfectionist, [a1732]",,,,,,,,,,,,,,,,,,other [a1153],other [a1151],20170117_Cassie-Doyle_MentalHealth_backchannels.eaf
00:03:15,00:03:17,00:00:02,,,,,,,It's a difficult disease for perfection though. [a1236],,,,,,,,,,,,,,,,,,,,,other [a1153],other [a1151],20170117_Cassie-Doyle_MentalHealth_backchannels.eaf
00:03:18,00:03:19,00:00:01,,,,,,,In fact [a1237],,,,,,,,,,,,,,,,,,,,,other [a1153],other [a1151],20170117_Cassie-Doyle_MentalHealth_backchannels.eaf
00:03:21,00:03:21,00:00:00,,,,,,,I think we can safely say it's an impossible disease for a pers- +person ((*fection)) [a1238],,,yeah [a1740],acknowledgement [a2274],yeah [a2196],,,,,,,,,,,,,,,,other [a1153],other [a1151],20170117_Cassie-Doyle_MentalHealth_backchannels.eaf
00:03:25,00:03:28,00:00:03,,,,,,,Kay. Are you multiple daily injections? [a1239],,,,,,,,,,,,,,,,,,,,,other [a1153],other [a1151],20170117_Cassie-Doyle_MentalHealth_backchannels.eaf
00:03:28,00:03:29,00:00:00,,,,,,,,,,Yes. [a1742],,,,,,,,,,,,,,,,,,other [a1153],other [a1151],20170117_Cassie-Doyle_MentalHealth_backchannels.eaf
00:03:29,00:03:29,00:00:00,,,,,,,Okay. [a1241],continuer [a2338],okay [a2067],,,,,,,,,,,,,,,,,,,other [a1153],other [a1151],20170117_Cassie-Doyle_MentalHealth_backchannels.eaf
00:03:35,00:03:36,00:00:01,,,,,,,Yeah. [a1242],,,,,,,,,,,,,,,,,,,,,other [a1153],other [a1151],20170117_Cassie-Doyle_MentalHealth_backchannels.eaf
00:03:36,00:03:37,00:00:00,,,,,,,Yeah. [a1243],,,You're pump? [a1745],,,,,,,,,,,,,,,,,,other [a1153],other [a1151],20170117_Cassie-Doyle_MentalHealth_backchannels.eaf
00:03:40,00:03:41,00:00:00,,,,,,,Why? [a1246],,,,,,,,,,,,,,,,,,,,,other [a1153],other [a1151],20170117_Cassie-Doyle_MentalHealth_backchannels.eaf
00:03:57,00:03:57,00:00:01,,,,,,,mhm [a1249],acknowledgement [a2339],mhm [a2068],,,,,,,,,,,,,,,,,,,other [a1153],other [a1151],20170117_Cassie-Doyle_MentalHealth_backchannels.eaf
00:03:57,00:03:57,00:00:01,,,,,,,,,,a more [a1755],,,,,,,,,,,,,,,,,,other [a1153],other [a1151],20170117_Cassie-Doyle_MentalHealth_backchannels.eaf
00:03:59,00:04:01,00:00:01,,,,,,,,,,whereas if I'm on injections [a1757],,,,,,,,,,,,,,,,,,other [a1153],other [a1151],20170117_Cassie-Doyle_MentalHealth_backchannels.eaf
00:04:00,00:04:00,00:00:01,,,,,,,yeah [a1251],continuer [a2341],yeah [a2070],whereas if I'm on injections [a1757],,,,,,,,,,,,,,,,,,other [a1153],other [a1151],20170117_Cassie-Doyle_MentalHealth_backchannels.eaf
00:04:03,00:04:04,00:00:01,,,,,,,like freedom. [a1252],joint construction [a2342],like freedom [a2071],,,,,,,,,,,,,,,,,,,other [a1153],other [a1151],20170117_Cassie-Doyle_MentalHealth_backchannels.eaf
00:04:05,00:04:06,00:00:01,,,,,,,,,,If that makes sense. [a1761],,,,,,,,,,,,,,,,,,other [a1153],other [a1151],20170117_Cassie-Doyle_MentalHealth_backchannels.eaf
00:04:06,00:04:08,00:00:02,,,,,,,"Yeah, I I can see it, [a1254]",,,,,,,,,,,,,,,,,,,,,other [a1153],other [a1151],20170117_Cassie-Doyle_MentalHealth_backchannels.eaf
00:04:16,00:04:17,00:00:01,,,,,,,Oh no. [a1257],,,,,,,,,,,,,,,,,,,,,other [a1153],other [a1151],20170117_Cassie-Doyle_MentalHealth_backchannels.eaf
00:04:17,00:04:21,00:00:03,,,,,,,"So it's interesting, cause you're talking about mental health, and about [a1258]",,,,,,,,,,,,,,,,,,,,,orientation [a945],story diagnosis and pump [a942],20170117_Cassie-Doyle_MentalHealth_backchannels.eaf
00:04:22,00:04:24,00:00:02,,,,,,,"trying to focus on perfection, [a1260]",,,,,,,,,,,,,,,,,,,,,orientation [a945],story diagnosis and pump [a942],20170117_Cassie-Doyle_MentalHealth_backchannels.eaf
00:04:30,00:04:32,00:00:02,,,,,,,"pretending it wasn't happening, and ignoring it, [a1263]",,,,,,,,,,,,,,,,,,,,,orientation [a945],story diagnosis and pump [a942],20170117_Cassie-Doyle_MentalHealth_backchannels.eaf
00:04:41,00:04:45,00:00:04,,,,,,,And that made a huge difference to my mental health. And to my control. [a1269],,,,,,,,,,,,,,,,,,,,,evaluation [a949],story diagnosis and pump [a942],20170117_Cassie-Doyle_MentalHealth_backchannels.eaf
00:04:45,00:04:47,00:00:02,,,,,,,So I thi- +think -- er it's an interesting [a1270],,,,,,,,,,,,,,,,,,,,,resolution [a951],story diagnosis and pump [a942],20170117_Cassie-Doyle_MentalHealth_backchannels.eaf
00:04:55,00:04:56,00:00:00,,,,,,,um [a1275],,,,,,,,,,,,,,,,,,,,,resolution [a951],story diagnosis and pump [a942],20170117_Cassie-Doyle_MentalHealth_backchannels.eaf
00:04:57,00:04:59,00:00:02,,,,,,,"suffered from mental health problems as well, and [a1277]",,,,,,,,,,,,,,,,,,,,,resolution [a951],story diagnosis and pump [a942],20170117_Cassie-Doyle_MentalHealth_backchannels.eaf
00:05:04,00:05:04,00:00:00,,,,,,,,,,yeah [a1768],acknowledgement [a2277],yeah [a2199],,,,,,,,,,,,,,,,coda [a950],story diagnosis and pump [a942],20170117_Cassie-Doyle_MentalHealth_backchannels.eaf
00:05:06,00:05:07,00:00:01,,,,,,,Um {LG} [a1281],,,,,,,,,,,,,,,,,,,,,other [a1154],other [a1152],20170117_Cassie-Doyle_MentalHealth_backchannels.eaf
00:05:07,00:05:09,00:00:02,,,,,,,"I'm totally biased, it's [a1282]",,,,,,,,,,,,,,,,,,,,,other [a1154],other [a1152],20170117_Cassie-Doyle_MentalHealth_backchannels.eaf
00:05:11,00:05:13,00:00:02,,,,,,,"And I get the attached thing, but honestly  [a1285]",,,,,,,,,,,,,,,,,,,,,other [a1154],other [a1152],20170117_Cassie-Doyle_MentalHealth_backchannels.eaf
00:05:17,00:05:18,00:00:01,,,,,,,And it improves your l- +life [a1288],,,,,,,,,,,,,,,,,,,,,other [a1154],other [a1152],20170117_Cassie-Doyle_MentalHealth_backchannels.eaf
00:05:26,00:05:27,00:00:01,,,,,,,or I need to do [a1294],,,,,,,,,,,,,,,,,,,,,other [a1154],other [a1152],20170117_Cassie-Doyle_MentalHealth_backchannels.eaf
00:05:28,00:05:29,00:00:01,,,,,,,whatever. [a1296],,,,,,,,,,,,,,,,,,,,,other [a1154],other [a1152],20170117_Cassie-Doyle_MentalHealth_backchannels.eaf
00:05:29,00:05:30,00:00:01,,,,,,,That's quite nice. [a1297],,,,,,,,,,,,,,,,,,,,,other [a1154],other [a1152],20170117_Cassie-Doyle_MentalHealth_backchannels.eaf
00:05:32,00:05:32,00:00:01,,,,,,,,,,{BR} [a1774],,,,,,,,,,,,,,,,,,other [a1154],other [a1152],20170117_Cassie-Doyle_MentalHealth_backchannels.eaf
00:05:33,00:05:35,00:00:02,,,,,,,,,,to me that's easy to me. [a1775],,,,,,,,,,,,,,,,,,other [a1154],other [a1152],20170117_Cassie-Doyle_MentalHealth_backchannels.eaf
00:05:35,00:05:37,00:00:01,,,,,,,,,,So that doesn't really bother me. [a1776],,,,,,,,,,,,,,,,,,other [a1154],other [a1152],20170117_Cassie-Doyle_MentalHealth_backchannels.eaf
00:05:37,00:05:37,00:00:01,,,,,,,Yeah [a1299],acknowledgement [a2346],yeah [a2075],,,,,,,,,,,,,,,,,,,other [a1154],other [a1152],20170117_Cassie-Doyle_MentalHealth_backchannels.eaf
00:05:38,00:05:38,00:00:00,,,,,,,,,,I just [a1777],,,,,,,,,,,,,,,,,,other [a1154],other [a1152],20170117_Cassie-Doyle_MentalHealth_backchannels.eaf
00:05:38,00:05:40,00:00:01,,,,,,,,,,I just don't see the point of [a1778],,,,,,,,,,,,,,,,,,other [a1154],other [a1152],20170117_Cassie-Doyle_MentalHealth_backchannels.eaf
00:05:48,00:05:50,00:00:02,,,,,,,"Do you know, but it makes a big difference [a1305]",,,,,,,,,,,,,,,,,,,,,other [a1154],other [a1152],20170117_Cassie-Doyle_MentalHealth_backchannels.eaf
00:05:50,00:05:51,00:00:01,,,,,,,,,,Everyone everyone's different. [a1782],,,,,,,,,,,,,,,,,,other [a1154],other [a1152],20170117_Cassie-Doyle_MentalHealth_backchannels.eaf
00:05:51,00:05:51,00:00:00,,,,,,,Yeah. [a1306],,,,,,,,,,,,,,,,,,,,,other [a1154],other [a1152],20170117_Cassie-Doyle_MentalHealth_backchannels.eaf
00:05:56,00:05:57,00:00:01,,,,,,,{BR} yeah. [a1311],,,,,,,,,,,,,,,,,,,,,other [a1154],other [a1152],20170117_Cassie-Doyle_MentalHealth_backchannels.eaf
00:05:58,00:06:01,00:00:04,,,,,,,"{LS} I think that's why it is so closely linked to mental health, because I think [a1312]",,,,,,,,,,,,,,,,,,,,,other [a1154],other [a1152],20170117_Cassie-Doyle_MentalHealth_backchannels.eaf
00:06:02,00:06:04,00:00:02,,,,,,,with other chronic health conditions [a1313],,,,,,,,,,,,,,,,,,,,,other [a1154],other [a1152],20170117_Cassie-Doyle_MentalHealth_backchannels.eaf
00:06:14,00:06:14,00:00:00,,,,,,,,,,affect you [a1786],self-initiated other repair [a2284],affect you [a2206],,,,,,,,,,,,,,,,other [a1154],other [a1152],20170117_Cassie-Doyle_MentalHealth_backchannels.eaf
00:06:15,00:06:16,00:00:01,,,,,,,Whereas [a1320],,,whereas with this [a1788],,,,,,,,,,,,,,,,,,other [a1154],other [a1152],20170117_Cassie-Doyle_MentalHealth_backchannels.eaf
00:06:23,00:06:24,00:00:01,,,,,,,yeah {LG} [a1324],,,"you'd end up in A and E, like, by the end of the night. [a2482]",joint construction [a2488],"you'd end up in A and E, like, by the end of the night. [a2486]",,,,,,,,,,,,,,,,other [a1154],other [a1152],20170117_Cassie-Doyle_MentalHealth_backchannels.eaf
00:06:24,00:06:25,00:00:01,,,,,,,"yeah, exactly. [a1325]",,,,,,,,,,,,,,,,,,,,,other [a1154],other [a1152],20170117_Cassie-Doyle_MentalHealth_backchannels.eaf
00:06:28,00:06:29,00:00:01,,,,,,,"So I think that is why, I think the constant thinking [a1326]",,,yeah [a1792],acknowledgement [a2290],yeah [a2210],,,,,,,,,,,,,,,,other [a1154],other [a1152],20170117_Cassie-Doyle_MentalHealth_backchannels.eaf
