utterance,hedge,L_context1,L_context2,R_context1,function,ID
of a life it what you could do is live near campus that would n't be a bad idea yeah exactly that would be ideal like a little a little kind of tiny place yeah that 's not far from there it 's true where you do n't have a commute effectively yeah you just walk there and get in on,kind,DT,JJ,JJ,pragmatic marker,S0008_2014
? for example Wales walking across England no yeah erm if I did it in summer I could even try the camping thing yeah erm or some kind of crazy Scotland trail yeah er because when I once had three months off work mm afterwards I was really annoyed cos I thought damn I want to,kind,CC,DT,JJ,propositional,S0008_2014
England one is it like the Pennine ? no there 's one where they go from coast to coast mm that 's like a well-trodden path and that kind of gets on my nerves already though I bet it 's wonderful mm it 's like yeah that 's been done or whatever erm so I do n't think I should,kind,CC,DT,VVZ,propositional,S0008_2014
check it out oh that 's got the whole thing look otherwise we would have to use it oh what 's that hole ? do n't know look that s the kind of cable you mean is n't it ? mm it is or is it a hole or is it just a weird reflection ? anyway I do n't like it no would you be able to finish,kind,VBZ,DT,NN,propositional,S0008_2014
yeah because of the costs involved yeah like and thirty years of experience you 've missed yeah yeah but they need to have more like kind of like apprenticeships almost for oh yeah for doctors or engineers at a different point in yeah yeah people's career so yes yeah you you do n't,kind,JJR,IN,JJ,pragmatic marker,S0008_2014
like yes from like coffee shops for free you know a lot of it and and get rid of the waste will give it for free and then they put into kind of like er sort of a sandbag kind of thing but a bit bigger mm and they 've cut holes in the side and oh they do you plant them ? they plant,kind,VVD,IN,JJ,pragmatic marker,S0008_2014
it yeah I 'm not a dickhead yeah I 'm not yeah since more people in engineering have found out that I 'm in er that erm like they re kind of like oh your college is doing this and like when I 'm saying that erm I dunno when there was like events on like hustings and stuff,kind,PP,VBP,VV,pragmatic marker,S0008_2014
up at hotel had a meal then the following morning Jamie Oliver's for a breakfast meeting and then a workshop and then so they were kind of combining it with a few places which was local for her she said that was good because it was all handy for her yeah oh yes yes mm oh well yes,kind,PP,VBD,VVG,pragmatic marker,S0008_2014
er it 's not that simple it 's not just like of it but no of course not it 's in er it 's w it 's what I was thinking about when I did this essay sort of how cos the way that people when sort of Pericles in his famous funeral oration he talks about sort of loving the city but he uses,sort,DT,NN,WRB,pragmatic marker,S0008_2014
do it she just corrects you straightaway and moves on and then she comes back to see you do it again okay well that 's she does n't kind of pick pick you out for ages or you know no no no she 'll just quickly which is nice that 's good then cos you do n't get humiliated no no,kind,VVZ,RB,VV,pragmatic marker,S0008_2014
but has n't made any kind of I mean they did say obviously they 'd have him in the evening or I 'll have him on his birthday but they only kind of mentioned that that,kind,PP,RB,VVD,pragmatic marker,S0008_2014
of cod and a bit of salmon yes and I I said oh okay yeah fair enough but erm also with giving them yeah okay I know I know that s the kind of desired thing to do at the end of it all when you 've when you have weaned them yes to eat with you and then it 's like yes to eat with you yeah,kind,VBZ,DT,VVN,propositional,S0008_2014
you then right I 'm gonna go to bed kid bye-bye bonne nuit more of your erm white chocolate ? yeah sure it 's strange is n't it ? it kind of needs a bit more milk in it to make it a bit runnier yeah runnier mm tastes a bit like custard does n't it taste like custard ? tubby,kind,SENT,PP,NNS,propositional,S0008_2014
do you know what they remind me of ? dumplings yeah mm I was mm just thinking that mm I wonder what the wild asparagus is like mm what kind of conditions does asparagus grow up in ? I could n't tell you I mean it has to have a erm dedicated bed raised clips yeah but that 's saying it 's,kind,NN,WP,NNS,propositional,S0008_2014
candidates or they did n't like the look of the candidates that they had oh that 's cool so I talked to the highway manager who is kind of I ve got my product manager and then I 've got her manager yeah so they obviously see the work that I 've done and things like,kind,WP,VBZ,PP,pragmatic marker,S0008_2014
figure across your college campus dear yeah and er yeah so you could you could generally tell but that 's the thing is n't it everybody's kind of like oh after the confines of school and sort of that regimented regime yeah wearing school uniform and all the rest of it it 's,kind,PP,NNZ,VV,pragmatic marker,S0008_2014
you need to do yeah yeah yeah so really you ca n't you ca n't See I thinking too slowly and then do the wrong shot yeah it 's almost very kind of intuitive is n't it ? Your movements and mm mm yeah it 's good for your reflexes mm we should try a left handed game yeah I want to work on my,kind,RB,JJ,JJ,pragmatic marker,S0008_2014
were n't here cos it would 've really you would 've had to sleep in my room I think but but he 's so kind of selfish but it 's a typical kind of teenager thing to do is to have but he broke the law he did well I did ring the police but there 's not a lot they can do about it it 's not a,kind,DT,JJ,JJR,pragmatic marker,S0008_2014
all the way through mm scene changes will happen with like full lighting on so more revealing of the inner ? yeah yeah o of theatre and kind of disconnecting you then mm mm and sort of showing you that it 's all an illusion which is another interesting one got you yeah yeah mm oh so that,kind,NN,CC,VVG,pragmatic marker,S0013_2014
and yeah drive in and everything and they have a very set route well was off the other week and so when uncle was coming back he kind of decided to go cross-country and do a slightly different route right so he was erm coming through sort of and way which is where it 's,kind,VV,PP,VVN,pragmatic marker,S0013_2014
arrived cos I was excited and then a few weeks beforehand I went into this kind of like oh yeah yeah he 's home soon do you know kind of I do n't know in a no man's land kind of bit yeah I do n't know what that was and then as I was starting to go to the airport then the,kind,PP,VVP,PP,pragmatic marker,S0013_2014
I I heard a cover of it and it 's yeah no it 's it is good it is good it she 's sort of almost like a folky singer is n't she ? yeah but she kind of has a different take on it a bit of a twist oh what was her name ? the worst thing is listening to a cover before listening to the,kind,CC,PP,VHZ,pragmatic marker,S0013_2014
set of yeah information you know that you needed to know to and and but you know to them it was all smoke and mirrors you know it was kind of like wow you know this is amazing but oh right it is very limited but but it worked and you know the the yeah yeah it you did your job I I,kind,PP,VBD,JJ,pragmatic marker,S0013_2014
no cos it it was just a drama I g I guess a comedy drama yeah and daddy and I used to watch it it was where she worked she worked in some kind of store erm and she was sort of one of the central characters and that was the first time we came across her mm in her younger years,kind,IN,DT,NN,propositional,S0013_2014
kind of colour it 's an unus I was going to say it 's an unusual colour yeah it 's like a metallic light blue and a silver yeah it s kind of a funny old frame actually it 's quite like it 's really thick in places you know ? yeah yeah cos it 's well a lot of hybrid bi bikes,kind,PP,VBZ,DT,pragmatic marker,S0013_2014
I mean me and we we really that really was n't our speciality so the guy that was supposed to be doing the 3D graphics he did kind of help a lot in terms of you know what terminology to use because we did n't but that was about it though he threw you some words he,kind,PP,VVD,VV,pragmatic marker,S0013_2014
just the governor's wife right I 'm pretty sure I have a name I just do n't know what it is and then left the city actually it sounds more kind of Eastern European Russian actually does n't it ? yeah actually to be fair I 'm pretty sure it 's set in Russia oh it is Russia right so may maybe,kind,VVZ,JJR,NP,propositional,S0013_2014
yeah yeah it was good nice was n't it ? mm I did n't actually eat as much as I wanted to cos well I did yeah with a baby on your arm it s kind of I was kind of doing a circuit and coming back and grabbing some food off my plate and then yeah off again was proper grumpy as,kind,PP,VBZ,PP,pragmatic marker,S0013_2014
rest of the building is like catering and hairdressing and some classrooms right but that 's that that 's the buildi that s the kind of one with the erm oh gosh the decking all around it the platform is n't it ? it 's where we went to see yeah yeah yeah yeah yeah yeah so oh,kind,VBZ,DT,CD,propositional,S0021_2014
gonna do is every match is gonna have a theme to it so next season is gonna be a what dress up as crocodiles ? or well I dunno er yeah what kind of theme the the the fact is the team are still gonna be the same and the team are gonna be shit they 're trying to dis distract from that,kind,RB,WP,NN,propositional,S0021_2014
mountain in this province if you wanna go walking no no you have to ask question after yeah I found that really bizarre and that kind of thing and it 's and you 're having a conversation you 're like well do you like walking ? yes so where do you go ? I go there ? where is,kind,CC,DT,NN,propositional,S0021_2014
and then there 's the older cousins yeah and there 's a kind of they have a sort of link with the yeah and then there 's you who s the kind of kids and you can speak to the next ones up slightly and there 's all those weird relationships I do n't have any cos I do n't have any,kind,VBZ,DT,NNS,propositional,S0026_2014
discussion topic is n't it ? you know what what is your purpose when you go there ? are you know are you teaching ? you know the whole kind of argument about what form of the language you 're teaching and do you go there as a native speaker or do you go there to teach chinese and,kind,DT,JJ,NN,propositional,S0026_2014
s like the same thing with video tapes they all get buggered up . So I 've got to sort of I ve got ta record a . that tape Is it a ninety minute yeah ? I do n't know lunch,sort,VVN,TO,PPIS1,pragmatic marker,S0026_1994
you know ? yeah yeah what about the erm the very high chocolate content you get in Sainsbury's they 're they 're only like they re kind of dark chocolate yeah yeah I think they 're seventy or eighty percent chocolate and and the rest is sugar is it ? oh is it ? oh I see yeah so now a,kind,PP,VBP,JJ,pragmatic marker,S0026_2014
well we 'll that 's what I mean we need to go back through it do n't we ? yep but yeah it would seem an extraordinarily long time between kind of eating the evening before cos I 'm sure once you start taking them you 're not supposed to eat again after that but no I definitely ca,kind,NN,IN,VVG,pragmatic marker,S0032_2014
the good projects and stuff it 'll be alright but yeah it does kind of by the time it gets round to do doing Christmas again we ve kind of gone out to yeah plan it sort of thing and just get on with it and you 've got targets so what do you do about like things like,kind,PP,VHP,VVN,pragmatic marker,S0040_2014
love about being a teacher ? the holidays oh god inspiring no yeah I suppose when it is rewarding it 's rewarding I suppose like most sort of I think part of it is I just ca n't remember what I was like when I was fifteen sixteen mm seventeen would I have been able to have,sort,IN,JJS,PP,pragmatic marker,S0070_2014
at all ? it is it is helpful erm because you can if you 're if you 're quite good I think I 'm quite good as being the spy but you can kind of see how people type and then compare it to people typing during the day yeah so if you if you think someone 's typing a certain way,kind,PP,MD,VV,pragmatic marker,S0070_2014
of individual to you everyone feels the same way about everybody I suppose yeah yeah er which is you know it 's not a bad thing but sort of I m sort saying it in a sort of selfish way but it 's just a sort of different situation I suppose mm yeah it 's interesting I,sort,NN,CC,PP,pragmatic marker,S0070_2014
annoyed me so I had to stop following him it was always Britain first and get these Muslims out of our country innit so er I kind of got sick of it and why am I eating so much ? hello do n't fill up too much we have pizza ' s late what ? ' s officially late now later than,kind,VVZ,PP,VVN,pragmatic marker,S0070_2014
they put it all up so I I felt bad I mean I tried to kind of you know it 's funny I mean I 'm I 'm I you know what I it 's so so th th it s a kind of proper work then ? in a way yes it was kind of proper work you know yeah that 's good yeah and I kind of you know I was a bit I did n't wanna,kind,VBZ,DT,JJ,propositional,S0070_2014
take a pinch you kn of that what it yeah I mean it just it 's it 's I mean that 's just you know off an off a magazine that 's not a a down-to-earth kind of advice it s unreal no but I unreal but I I know but it 's re it is real cos it 's what most people do so no of course I do n't I do n't think,kind,DT,JJ,NN,propositional,S0070_2014
you know popular place to go for Japanese people it is Japanese and Americans yeah love Hawaii but they decided that that s the kind of place they want to really hang out and enjoy is it 's just it 's it 's really almost Jap Japan yeah yeah an extension of Japan yeah yeah,kind,VBZ,DT,NN,propositional,S0070_2014
you joking ? well that 's why I 'm telling you or I had along here and did n't realise that was that like all the one over there which is kind of curled up er you know it 's not dangerous because it 's there all the time oh in and er come here this way there 's one just by the here oh,kind,WDT,VBZ,VVN,pragmatic marker,S0070_2014
soon no never no ? I love you too much good that 's good to know or do you love but do you love the tablet more ? well by the time I m sort of I dunno sixty you 'll be able to have your own tablet wo n't you ? by the time you 're sixty ? yeah so that that 'll be in twenty-one,sort,PP,VBP,PP,pragmatic marker,S0070_2014
no we want more of this so you are beginning to find out what they think they want from their learning and then once you 've got that kind of ball rolling maybe there is a narrative coming through about or trending we want more this we want less that you know ? and in terms of,kind,VVN,DT,NN,propositional,S0070_2014
thinking of your next step ? how would you be going about setting something up ? and just always getting those kind of like out there kind of questions to people erm and it could be somebody is interested in how the heck did you become a u a lecturer and what 's your background ?,kind,IN,RB,NNS,propositional,S0070_2014
right but in some cultures yeah you do n't use certain words it 's like English is not like that is it no I 'd say not we we tend to sort of I I do n't know I mean er it it would be quite interesting would n't it to sort of have a look a bit more closer er I do n't know,sort,VVP,TO,PP,pragmatic marker,S0070_2014
you know it might be different to me or like let 's be nice to everyone kind of thing you know and it 's not you know for a lot of people NNS IN kind of I m it ? fish something Fishman ? yeah they 're yeah the best ones yeah are they ? yeah yeah I had researched it all had played,kind,that,that,PP,pragmatic marker,S0070_2014
I 've been thinking yeah the reality is though is that we have to turn it into an implementation plan yes that 's right and we ve kind of stalled on that side faffing so I 'm still clocking it up in my head going well how do we implement this ? how do we make it happen given,kind,PP,VHP,VVN,pragmatic marker,S0095_2014
and well Pearl Jam are still going as well mm I I literally know Nirvana out of that lot right but okay but that is just my sort of I just I just love it yeah like like there is n't anything else now cos I 've gone back to that and I think yeah yeah I know it 's just,sort,RB,PPZ,PP,pragmatic marker,S0095_2014
way he put it and I I do n't think she was in to the idea at all yeah yes no no at all erm so I think that really that came to a bit of a kind of a a head I see yeah erm but I think I was aware of the fact that some well not fact but some kind of sense of somebody from her past,kind,IN,DT,DT,propositional,S0095_2014
sort of ones and they were definitely hers it was definitely her thing so yeah but you can see this is interesting because you can kind of see I think that because likes they like some family history cos he 's put everybody's name on there almost yeah or all the,kind,PP,MD,VV,pragmatic marker,S0095_2014
a five minute session if you like it like you can have a lot more it 's interesting um yeah I like that one um uh I dunno I used to do sort of I used to come off a run and then do five minutes of that um mm but it 's a little weird what do they call it ? Um arm row ? Seated row ?,sort,TO,VV,PP,pragmatic marker,S0104_2014
when she died she was really like nothing you know yeah the all of her all of her you know unfortunately all of her body mass really had kind of wasted away but erm yeah but erm this dress was just I I 'd forgotten that she was so small and that you know she had been quite you know a,kind,RB,VHD,VVN,pragmatic marker,S0104_2014
have to go through those really hard patches to kind of everyone move on yeah yeah I do n't mean move on from my mum's death but just kind of get through some of the crappy stuff so you can clear that and make way for some better stuff no yeah yeah yeah yeah yeah yeah that 's,kind,CC,RB,VV,pragmatic marker,S0104_2014
chillies you can give it to my tortoises if you do n't eat it your tortoises ? okay what are you guys er doing this weekend ? well I kind of I have to work on Sunday night which sucks that 's the end of the weekend Sunday night Monday morning yeah the weekend starts,kind,RB,PP,PP,pragmatic marker,S0104_2014
that yeah now we 've got to sort of move some blockages here and round in a bit and I 'm going yes I wanna move those bits so I m kind of thinking well in a way I 'm trying to help myself yeah and it 's just survival strategy I find myself in the situation of coping coping,kind,PP,VBP,VVG,pragmatic marker,S0104_2014
yeah it 's almost as if that 's the only way you can get approval yes it is is by sort of it is the only way you can get approval being this kind of but it s all fake yeah you know it 's yeah and none of it 's real yeah and even if it was real so what ? yeah it does n't matter yeah and,kind,VBG,DT,CC,propositional,S0104_2014
is more tight-knit than a tank crew but in a way I did n't think they were really really nasty to him what ? in in a sense it was kind of well portrayed it was that you know levels of kind of nastiness and things like that does n't really come into it it was kind of like you,kind,PP,VBD,RB,pragmatic marker,S0104_2014
One World War Two we would basically have some kind of you know conversation about something or you know ? any kind of war would be kind of useful we just did n't do war just girls school ancient war did ancient war War of the Roses romantic war yeah well I I and love in,kind,MD,VB,JJ,pragmatic marker,S0104_2014
were and then they get into a mindset is that university is actually quite boring and then your second year and your third year is kind of really tainted by that so first year lecturers have to be brilliant mm mm but they actually put the shit ones in the first years and then,kind,NN,VBZ,RB,pragmatic marker,S0104_2014
that people could probably when they think about oh could actually give fifty quid to to could give fifty quid to mm but these two kind of combine their thoughts their ideas they could be one could be in Africa and one in South America but there 's something about this idea,kind,DT,CD,VV,pragmatic marker,S0104_2014
mum and dad and we told them where we 'd been and they rolled their eyes and said oh god you went to the one of the ugliest full of tat kind of places that that,kind,IN,NN,NNS,propositional,S0144_2014
we want to be so there 's nothing false about it it 's just do it mm mm yeah mm yeah me and my friend have talked about this before where sort of if you re if you are acting for want of a better word erm is it a good thing or a bad thing ? and will you eventually become that,sort,RB,WRB,IN,pragmatic marker,S0144_2014
be one yeah and the other one the Iglesias the the are n't there two sons ? we have n't heard about them for ages have you ? cos they kind of look a lot Ricky Martin and the Iglesias actually look quite similar I sometimes get them mm I have n't heard from who ? recently,kind,NN,PP,VV,pragmatic marker,S0144_2014
mm believing that it academically mm mm you know and then the teaching is wonderful but then somehow the marketing is p kind of becoming a bit cancerous because yes people's expectations I know are very often erm misled I suppose yes you know ? er,kind,VBZ,NN,VVG,pragmatic marker,S0144_2014
it go is it the road where dad that dad's road goes off ? yeah yes right or like the one behind it like one of those two it 's a road NN IN sort of if you ,sort,that,that,IN,pragmatic marker,S0144_2014
for men eight hundred less two thousand five hundred but do you not feel like I do n't know I always feel like you know sort of these kind of it s like five a day and units of alcohol and this amount of units per day and this is what you should be eating who comes up with,kind,IN,DT,PP,propositional,S0144_2014
mm but I mean they also know it can be quite low budget the suspense that comes from mm thrillers I mean I love you know or I m the kind of person who can is easily sit and watch erm you know Blunt and what 's and all of that spy stuff yeah and you know I well my favourite film,kind,VBP,DT,NN,propositional,S0144_2014
just so good I 'll have to see that erm but er Smiley's People and so we know that thrillers can be done in in that kind of more keyed down kind of fina you know the bu the budget can be keyed down and that 's why the treatment would be useful I mean action the action 's in the,kind,JJ,JJ,NN,propositional,S0144_2014
I know I know what you mean I found that really weird last time I was in Barcelona had erm it was a nice apartment actually it was kind of in a one of those squares uhu and facing inwards to the square with like a little bit of grass or whatever it was in between and,kind,PP,VBD,IN,pragmatic marker,S0144_2014
got a savers account for him so he 's you know he 's acknowledged some things that are good to be a parent him but him and l is he still kind of in like a single guy's kind of mode ? guy 's yeah absolutely and his er ' s mother is n't much better for a mum really she 's dong the,kind,PP,RB,IN,pragmatic marker,S0144_2014
they all sing and stuff so yeah yeah I think they would be my idea of he if you had to design my idea of hell but ha but have n't they kind of catered towards you though by having them in pubs ? yeah yeah yeah yeah but also like put the keep them altogether in a in a lockable room,kind,RB,PP,VVN,pragmatic marker,S0144_2014
n't exist any more but I mean bay is lucky to have that pier point pier front building the big red building yeah yeah cos it s kind of iconic that that,kind,PP,VBZ,JJ,pragmatic marker,S0144_2014
er Leicester to win I 'd love it I think it would be great I mean you you want them to win even though even though I 'm a Spurs fan I kind of want Leicester to win yeah yeah but also if Spurs do n't win if Spurs do n't win it this season just it would be great when else yeah ? when are,kind,NN,PP,VV,pragmatic marker,S0144_2014
until we 'll be together till the day we die six months bumps you off if you 're not careful ah do n't be so ridiculous it 's it s special kind of love it ll last until my last ten thousand dollars right then what do we do ? okay I do n't no it does n't really say like what 's in,kind,VBZ,JJ,NN,propositional,S0144_2014
anorexic and I think that 's something like being alcoholic that once you 're anorexic in a sense you always are mm hm that it s kind of in your system so although she 's no longer in the sort of state that she was as a teenager she still eats ridiculously small,kind,PP,VBZ,IN,pragmatic marker,S0144_2014
of Duty I 'm bad at again good but I enjoy being bad you 'll probably be like a similar sort of level as me ' s very good at erm like this kind of stuff have you ever played that ? oh is it ? yeah which one is that one ? is that the third one ? for the the first one the third yeah it 's,kind,IN,DT,NN,propositional,S0144_2014
he does he 's done that a few times mm that 's cool at the front which has been cool that 's cool yeah he 's really coming along it s kind of interesting how you how you teach the things you were saying about like the finding the right way to live yeah how you teach that to people I,kind,PP,VBZ,JJ,pragmatic marker,S0144_2014
matchboxes would catch fire in drawers erm there were poolings of water where there should n't have been there were lots of these kind of odd phenomenon that was taking place erm the girls er were seen to levitate erm a book in one in their bedroom mysteriously appeared in,kind,IN,DT,JJ,propositional,S0144_2014
but sounds can come out so when she was speaking when Bill was speaking through her she er she had this kind of rough right ra this kind of east end London accent and he was you know swear like a trooper he was quite a nasty bloke right and he was basically telling,kind,NNS,DT,JJ,propositional,S0144_2014
sort like just being as she would in any house but like doing things for her and things yeah and all the rest of it ? ' s going to be kind of a a sp the spare part the spare part mm I said it 's not gonna work no and the next thing you know it 's not gonna work she 'll fall,kind,TO,VB,DT,pragmatic marker,S0144_2014
yes yeah it was about probably about twelve of us there and how often do you meet for that then ? it 's every other month oh so it s kind of an official meeting ? it 's kind of something that you need to yes it is even th well you do n't need to you only if you want to no and it 's,kind,PP,VBZ,DT,pragmatic marker,S0152_2014
they were right so I ended up going and babysitting well the daughter ' s probably eleven right something like that erm so I was kind of letting her be in charge you know yeah yeah with and doing all the things and we went and read a story and everything and er they 'd just,kind,PP,VBD,VVG,pragmatic marker,S0152_2014
I do n't know how I feel mm no I am not very I 'm not sure I could be bothered with all of that and the mess but I think you know if you are sort of in public toilets for example it 's just you 'd have to take that and you 'd have to take wipes just because you 'd just you know yeah,sort,PP,VBP,IN,pragmatic marker,S0152_2014
of like someone coming up with like the ultimate nutrition thing in general really yeah or or like sort of being able to pre-empt everyone's kind of needs in a way dietary needs yeah because you can have a complete like range of all the nutrients and stuff but that might n you,kind,VV,NNZ,NNS,propositional,S0152_2014
p it 's possible cos I was chucking all sorts of stuff away erm you would n't have chucked them away well but if er if if they d been sort of in a bundle with something else or I 'd dro I dunno it 's not too important but er the thing is I do n't know what 's on em yeah erm,sort,VHD,VBN,IN,pragmatic marker,S0152_2014
see ? mm she 'll like what I 've er and if she puts something on there and I like it and she likes the fact I 've liked it so we 're we re sort of in we are in touch and it 's interesting cos we 're both in we both like the same all the same things mm erm er so when was it ? I was a,sort,PP,VBP,IN,pragmatic marker,S0152_2014
there are better words to use like we do n't say patient any more about erm people who see a therapist we talk about clients and that kind of distances them from the idea that they 're broken yeah mm yeah po possibly although erm they are broken I mean the fact is are they ? well I I,kind,CC,DT,NNS,propositional,S0152_2014
where that 's true anyone who 's a bit thicker and could n't work out how to do it does n't get through dies off yeah yeah that kind of makes sense to me that makes sense and if let 's say you know seventy percent of the population died during those threats yeah that,kind,RB,DT,NNS,propositional,S0152_2014
olive green doors and brass door knockers and driven up property prices like no concept of what they actually wanted like a kind of white like they call it the white saviour complex do n't they ? like the yeah the white person riding in wanting to and like yeah right,kind,IN,DT,JJ,propositional,S0152_2014
but it 's one of those fusion things right yeah so it 's West Indian spices french cooking style yeah but erm US sort of south US kind of ingredients prawns very popular there okra yeah any kind of shellfish yeah I love it nice but here it 'd cost you a fortune to make it yeah cos it,kind,JJ,NP,NNS,propositional,S0152_2014
images that 's about the direction we should go this year erm we should set up at meeting at such and such a place and have a big like kind of workshop get the media involved I do n't know he 's obviously got a lot a lot more contacts and a lot more detail to that but it 's,kind,JJ,JJ,NN,propositional,S0154_2014
does n't want to look mm like she ca n't do it in the cl class now I 'm sure she yeah I mean she 's very bright no I I 'm hopeless at these kind of things erm right what 's next ? post-reading student's answer questions that class er like my other class I 've gotta oh sorry,kind,IN,DT,NNS,propositional,S0167_2014
but he did n't like it cos it was too heavy oh he 's more of a folk singer yeah and he 's going through this the same agency so we ve kind of all agreed that we 're just gonna use all of us so we 've got well he 's a folk singer and is a folk singer yeah and an acoustic guitarist,kind,PP,VHP,DT,pragmatic marker,S0167_2014
s yeah I 'm not gonna get all arsey with her no let's cos I I just forget out it I like it here cos we 've made the agreement she s kind of done the things she 's said she 's gonna do albeit yeah in a shitty way I I 'm not gonna I 'm just gonna let it lie and then I think we,kind,PP,VBZ,VVN,pragmatic marker,S0167_2014
an argument cos maybe like say you 've got argument X which you 're in favour of the arguments that you use against that you re gonna kind of hedge it and you and blame it on other people ? well not blame it on other people but make that argument weaker or make it n not put,kind,VBP,VVG,NN,pragmatic marker,S0167_2014
that and no I 'm sure I 've seen ones like that though no yeah but whether they 're corded I think that 'd be really cool I mean it s sort of in between a proper band mill and a mm they appear to have made there was like the jigsaw like my one and then that one that you 've got,sort,PP,VBZ,IN,pragmatic marker,S0167_2014
of where we saw some animals did n't we ? yes yes we went to some sort of not a zoo yeah not a safari park though something in between sort of in fields and things yes that was nice I like those you 'd 've only about eight or nine then I suppose were you ? yes yeah I loved,sort,IN,IN,IN,pragmatic marker,S0167_2014
re really popular still are they are they ? yeah yeah and it 's really worth going yeah these big well I say open air I mean they re sort of in massive sort of warehouse type things but right in the centre like S Spitalfields right in the centre yeah oh Spitalfields ? yeah,sort,PP,VBP,IN,pragmatic marker,S0175_2014
options in Northumberland erm again a place that 's got there 's no private hot tubs but there 's a swimming pool with a hot tub erm sort of in the complex like ? yep again very luxurious erm not hugely erm a little bit more expensive erm slightly better locale as in,sort,NN,NN,IN,pragmatic marker,S0179_2014
could 've gone over there and thumped his bonnet thumped his bonnet smashed his headlights in ? picked up a baseball bat ? yeah what kind of person does that ? really mm what what kinda head space would you do it ? yeah but that happens a lot here so yeah but so you need to adapt,kind,RB,WP,NN,propositional,S0179_2014
had er some Bitterns and Hoopoes what 's a Bittern ? what 's a gupo ? Hoopoe ? Hoopoe ? it 's the one with the thing on the top of its head kind of raises it up and goes turkey ? hi you look like a turkey when you just did that in the middle of the street do it again I dare to do it when,kind,PPZ,NN,VVZ,pragmatic marker,S0179_2014
Edinburgh mental institution yes so Conan Doyle is Watson and he he 's married but he begins an affair Conan Doyle does ? yes er sort of inadvertently but there 's it 's not his with this marriage ? not exactly no sort of thing no ? but plutonic marriage and he starts an affair,sort,UH,NN,RB,pragmatic marker,S0179_2014
they were n't treated like kings but freaks were yeah very well regarded people aspired to be freaks and but modern views of that kind of thing erm demonises show folk mm and you know with yeah not without justification but overall you know yeah they did n't just use,kind,IN,DT,NN,propositional,S0179_2014
that mm yeah yeah even though they they they put it 's weird cos the media put across this view as like there 's some kind of flimsy fun kind of thing but really I mean they 're fucking devilish man oh they are yeah but they always have been mm yeah the media always has been,kind,JJ,NN,NN,propositional,S0179_2014
wife and a reporter said to her how old are you ? and she thought oh I 'd better lie she said fifteen oh no fifteen and she kind of li she was thirteen it ruined his career so it it ruined his career ? for a for a while yeah yeah ? yeah mm well there was a lot of anti,kind,CC,PP,NNS,propositional,S0179_2014
measure success maybe yeah yeah cos you ca n't think globally in terms of success cos it it 's not eve not meaningful you have to kind of narrow it down into the some kind of social group that you can quantify and that you 've had relations with that yeah was telling me,kind,VHP,IN,VV,pragmatic marker,S0179_2014
we were going somewhere nearby oh right well the one here is like north Cornwall mm so where we 're staying in the first bit we might kind of explore the south part and then mm use that to go up to the north and we might pop into kind of the bottom end of Devon as well mm cos it 's,kind,PP,MD,VV,pragmatic marker,S0179_2014
the south part and then mm use that to go up to the north and we might pop into kind of the bottom end of Devon as well mm cos it s kind of the top end this that 's if we get we 're going to this one pets go free would you have to depends pay for c yes did you ? yeah pets ? cos a,kind,PP,VBZ,DT,pragmatic marker,S0179_2014
that 's really weird and like she said that to him ? no she was thinking it oh right she was just like oh so what did she say ? she just kind of was like oh right well fancy saying that anyway I know to the person in the shop like well hang on oh enabling and enable extension,kind,PP,RB,VBD,pragmatic marker,S0179_2014
to like bring back tax or something and the like people like rebelled and then mm was funny yeah it was good I think it was like some kind of Robinson Crusoe inspir inspired by or something yeah I wonder if films are going to be like books you know ? copyright it must come under,kind,IN,DT,NP,propositional,S0179_2014
row of the stalls oh yeah mm and er we still see everything but it 's only bad when someone in front of you is tall tall yeah and you kind of just sit on something with like one I sat on my coat cos I was a bit yeah the seats are n't at an angle they 're not high enough are they ?,kind,CC,PP,RB,pragmatic marker,S0179_2014
yeah cos there 's no abnormalities within the digestive system that would cause it mm which is why they think it might be like some kind of psychological thing but it 's not necessarily caused by stress it 's like I do n't know could be some one of these modern diseases is it ? I do n't,kind,IN,DT,JJ,propositional,S0179_2014
like driving then some people maybe enjoy driving jobs do n't they ? I guess the there would be you know like all jobs there are certain kind of pressures on you so again I 'd say to at a certain time you yeah well that needs to be there by this particular time they might have a time,kind,VBP,JJ,NNS,propositional,S0179_2014
s the word ? eh opportunity just to not opportunity splendid kind of splendid you ca n't even think of the word no there 's a particular kind of it s just a splendid thing in itself you know ? it 's kind of erm there is one pla you could I was there was some places you could go,kind,DT,JJ,PP,pragmatic marker,S0179_2014
but I think yeah so like I yeah if you did philosophy you could probably it is n't I think in terms of kind of job prospects people might kind of recognise English a bit more than philosophy yeah in terms of like employability even though like English is n't like necessarily gonna be,kind,NNS,MD,VV,pragmatic marker,S0179_2014
but it 's I mean I have to reread the book cos I ca n't really remember it that well now but even with knowing that I think I m still kind of thinking about thinking back to the book like not quite sure what he was doing I think I 'd have to read it again I 've read er Voltaire yeah,kind,VBP,RB,VVG,pragmatic marker,S0179_2014
I did n't know he was the one to standardise it well he was the first dictionary mm so that 's only when cos then like people would kind of consult the dictionary yeah but then even when that came out there was still a lot of non standard spelling because erm it was n't,kind,NNS,MD,VV,pragmatic marker,S0179_2014
